,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
119,1610739140-9570,https://www.wblivesurf.com/reports/page/66/,04.15.2020,Swell Size: Check Live Cam,6:41 AM / BY: surfreports,Water Surface: Check Live Cam,0.0
120,1610739256-9997,https://www.wblivesurf.com/reports/page/39/,08.13.2020,Swell Size: Knee-Thigh High,1:41 PM / BY: surfreports,Water Surface: Bumpy,0.5
121,1610738052-5402,https://www.wblivesurf.com/reports/page/327/,05.23.2016,Swell Size: Knee/Occ.Thigh,3:55 PM / BY: sageisland,Water Surface: Clean,1.0
122,1610738161-5935,https://www.wblivesurf.com/reports/page/293/,03.02.2017,Swell Size: Knee-Thigh High,9:56 AM / BY: sageisland,Water Surface: Slight Texture,1.5
123,1610737089-316,https://www.wblivesurf.com/reports/page/645/,09.03.2007,Swell Size: Waist/Stomach/Occ. Bigger,12:43 PM / BY: sageisland,Water Surface: Choppy,1.0
124,1610737182-846,https://www.wblivesurf.com/reports/page/611/,01.31.2008,Swell Size: Thigh/Occ. Bigger,7:17 AM / BY: sageisland,Water Surface: Light Chop,0.5
125,1610737456-2048,https://www.wblivesurf.com/reports/page/536/,12.16.2008,Swell Size: Waist/Stomach/Occ. Chest,9:49 AM / BY: sageisland,Water Surface: Clean/Foggy,1.5
126,1610737950-4829,https://www.wblivesurf.com/reports/page/362/,09.23.2015,Swell Size: Hip to Chest,7:14 AM / BY: sageisland,Water Surface: Drifty/Bumpy/clean faces,2.5
127,1610737283-1120,https://www.wblivesurf.com/reports/page/594/,04.07.2008,Swell Size: Knee/Thigh High,10:04 AM / BY: sageisland,Water Surface: Light Chop/Clean Faces,0.5
128,1610738139-5805,https://www.wblivesurf.com/reports/page/301/,12.01.2016,Swell Size: Thigh/Waist,3:41 PM / BY: sageisland,Water Surface: Clean,1.5
129,1610738955-8876,https://www.wblivesurf.com/reports/page/110/,09.27.2019,Swell Size: Shin High,3:36 PM / BY: surfreports,Water Surface: Bumpy,0.0
130,1610738844-8430,https://www.wblivesurf.com/reports/page/137/,06.12.2019,Swell Size: Knee/Thigh/Occ. Waist High,3:53 PM / BY: surfreports,Water Surface: Choppy / Drift,1.0
131,1610737256-963,https://www.wblivesurf.com/reports/page/604/,02.26.2008,Swell Size: Knee/Occ. Thigh,4:06 PM / BY: sageisland,Water Surface: Light Bump,0.5
132,1610738951-8851,https://www.wblivesurf.com/reports/page/111/,09.26.2019,Swell Size: Knee/Thigh/Occ. Waist,6:56 AM / BY: surfreports,Water Surface: Light Bump,1.0
